shard1,shard2,shard3,shard4,shard5,total
3994,4047,3986,4047,3926,20000
7928,8100,8058,8024,7890,40000
11929,12114,12072,12065,11820,60000
15914,16142,16128,16023,15793,80000
19980,20096,20042,20028,19854,100000
24044,24118,24006,23982,23850,120000
28103,28077,27972,27964,27884,140000
32081,32021,31945,32090,31863,160000
36009,36124,35978,36044,35845,180000
40022,40221,40014,39962,39781,200000
43991,44242,44013,43963,43791,220000
48044,48267,48004,47955,47730,240000
52076,52162,52034,52004,51724,260000
56085,56104,56070,56017,55724,280000
60134,60190,60072,60023,59581,300000
64087,64163,64150,64034,63566,320000
68162,68151,68168,67982,67537,340000
72042,72149,72161,72123,71525,360000
75955,76203,76242,76118,75482,380000
79925,80236,80246,80115,79478,400000
83884,84229,84242,84206,83439,420000
87826,88301,88318,88174,87381,440000
91751,92353,92261,92183,91452,460000
95754,96318,96305,96189,95434,480000
99667,100334,100372,100226,99401,500000
